ora_zi,numar_total_curse,medie_lei_per_minut,medie_lei_per_km,castiguri_totale_lei
0,125,1.8,4.2,3207.1
1,52,1.7,3.6,1388.8
2,32,1.9,4.2,796.2
3,12,2.2,3.8,474.8
4,7,2.1,4.3,232.1
5,1,1.0,3.2,12.8
6,7,1.4,3.4,177.1
7,7,1.5,5.5,164.8
8,7,1.0,4.8,147.8
9,16,1.1,3.6,380.7
10,22,1.0,2.8,584
11,21,0.9,3.0,411.7
12,35,1.1,3.6,863
13,41,1.1,4.2,884.2
14,57,1.1,3.7,1312.5
15,53,1.3,4.3,1447.2
16,59,1.4,4.7,1828.7
17,73,1.3,4.8,1877.6
18,152,1.6,4.9,4313
19,220,1.4,3.9,5217.6
20,229,1.4,3.8,5283
21,267,1.5,3.7,5976.1
22,243,1.6,3.6,6093.9
23,196,1.8,3.8,5318
