ora_zi,numar_total_curse,medie_km_preluare_gol,medie_km_cursa_platit,procent_km_morti,medie_lei_per_km,medie_lei_per_minut
5,1,1.8,2.2,44.6,3.2,1.0
7,7,1.0,3.4,24.4,5.5,1.5
0,125,1.5,5.4,22.7,4.2,1.8
2,32,1.3,5.0,22.5,4.2,1.9
23,196,1.5,6.3,21.1,3.8,1.8
6,7,1.2,6.1,20.0,3.4,1.4
8,7,0.8,4.2,19.8,4.8,1.0
1,52,1.4,6.8,19.6,3.6,1.7
22,243,1.2,6.3,18.2,3.6,1.6
21,267,1.0,5.9,18.1,3.7,1.5
18,152,1.0,5.7,18.1,4.9,1.6
13,41,0.9,5.0,17.8,4.2,1.1
14,57,1.0,5.6,17.8,3.7,1.1
15,53,0.9,6.3,17.7,4.3,1.3
19,220,1.0,5.7,17.5,3.9,1.4
9,16,1.1,5.9,17.2,3.6,1.1
17,73,0.9,5.2,17.1,4.8,1.3
16,59,0.9,6.7,16.8,4.7,1.4
20,229,0.9,5.9,16.1,3.8,1.4
4,7,1.2,7.1,16.0,4.3,2.1
3,12,1.3,10.4,15.9,3.8,2.2
10,22,1.2,9.0,14.0,2.8,1.0
12,35,0.8,6.4,13.6,3.6,1.1
11,21,0.9,6.3,12.0,3.0,0.9
