inceput_saptamana,eticheta_saptamana,total_curse_finalizate,numar_curse_sub_2_5_lei_km,procent_curse_sub_2_5_lei_km,numar_curse_sub_3_0_lei_km,procent_curse_sub_3_0_lei_km,medie_lei_per_km_saptamana
2026-07-27,Sapt. 27-Jul,62,4,6.5,13,21.0,4.39
2026-07-20,Sapt. 20-Jul,43,2,4.7,11,25.6,4.03
2026-07-13,Sapt. 13-Jul,75,0,0.0,2,2.7,6.31
2026-07-06,Sapt. 06-Jul,41,0,0.0,4,9.8,6.17
2026-06-29,Sapt. 29-Jun,92,0,0.0,3,3.3,6.4
2026-06-22,Sapt. 22-Jun,104,1,1.0,1,1.0,5.78
2026-06-15,Sapt. 15-Jun,83,0,0.0,1,1.2,5.9
2026-06-08,Sapt. 08-Jun,102,3,2.9,16,15.7,4.8
2026-06-01,Sapt. 01-Jun,97,0,0.0,0,0.0,6.2
2026-05-25,Sapt. 25-May,86,0,0.0,10,11.6,4.86
2026-05-18,Sapt. 18-May,106,5,4.7,24,22.6,4.63
2026-05-11,Sapt. 11-May,109,3,2.8,14,12.8,4.96
2026-05-04,Sapt. 04-May,98,4,4.1,16,16.3,5.33
2026-04-27,Sapt. 27-Apr,53,6,11.3,12,22.6,4.32
2026-04-20,Sapt. 20-Apr,99,6,6.1,21,21.2,4.29
2026-04-13,Sapt. 13-Apr,88,0,0.0,1,1.1,7.22
2026-04-06,Sapt. 06-Apr,48,0,0.0,2,4.2,6.07
2026-03-30,Sapt. 30-Mar,82,3,3.7,15,18.3,4.58
2026-03-23,Sapt. 23-Mar,94,0,0.0,5,5.3,5.26
2026-03-16,Sapt. 16-Mar,98,5,5.1,29,29.6,3.98
2026-03-09,Sapt. 09-Mar,105,15,14.3,36,34.3,4.11
2026-03-02,Sapt. 02-Mar,103,9,8.7,30,29.1,4.39
2026-02-23,Sapt. 23-Feb,66,12,18.2,19,28.8,4.35
