order_reference,payment_method,order_status,order_price_net_earnings,ride_distance,to_client_distance,total_ride_distance,lei_per_km_total,lei_per_km_ride,ride_duration,to_client_duration,total_ride_duration,lei_per_min_total,lei_per_min_ride,order_created_date,order_created_time,order_accepted_date,order_accepted_time,order_pickup_date,order_pickup_time,order_drop_off_date,order_drop_off_time,order_finished_date,order_finished_time,payment_confirmed_date,payment_confirmed_time,pickup_address,destination_address,order_cancelled_date,order_cancelled_time,order_no_show_date,order_no_show_time,order_stops,order_price_ride_price,order_price_commission,order_price_in_app_discount,order_price_booking_fee,order_price_cancellation_fee,order_price_cash_discount,order_price_tip,order_price_toll_fee,is_scheduled,price_review_reason,driver_cancelled_reason,category_info_name,category_info_vehicle_type,category_info_seats,vehicle_model
MzI1LTI0Nzg4NjIxMTEtMzIyOTY5NTYzOQ,in_app,client_cancelled,,,1.219,,,,,,,,,24-04-26,22:47:09,24-04-26,22:47:19,,,,,,,,,"Bulevardul Dacia 49, Bucureşti","Strada Soldat Nicolae Sebe 10, Titan - Balta Albă, Bucureşti",24-04-26,22:51:54,,,"[{""lat"": 44.44684, ""lng"": 26.100703, ""address"": ""Bulevardul Dacia 49, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.432606, ""lng"": 26.158463, ""address"": ""Strada Soldat Nicolae Sebe 10, Titan - Balta Albă, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MTg4MDgyMTUtMzI5OTczMzY3Nw,cash,client_cancelled,,,1.745,,,,,,,,,22-05-26,23:00:31,,,,,,,,,,,"Strada Jurilovca 20, Bucureşti 051293","Aleea Livezilor 43, Ferentari, Bucureşti",22-05-26,23:00:35,,,"[{""lat"": 44.396759, ""lng"": 26.058564, ""address"": ""Strada Jurilovca 20, Bucureşti 051293"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.396803, ""lng"": 26.058521, ""address"": ""Strada Jurilovca 20, Rahova, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""waypoint""}, {""lat"": 44.389124, ""lng"": 26.077322, ""address"": ""Aleea Livezilor 43, Ferentari, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MzQwMTIxNjctMzMyOTE1NDIwOQ,cash,client_cancelled,12.75,,1.244,,,,,,,,,01-06-26,19:10:13,01-06-26,19:10:21,,,,,,,,,"Prelungirea Ferentari 79, Bucureşti","McDonald's, Șoseaua Giurgiului, București, România",01-06-26,19:12:57,,,"[{""lat"": 44.392507, ""lng"": 26.08244, ""address"": ""Prelungirea Ferentari 79, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.39206, ""lng"": 26.093719, ""address"": ""McDonald's, Șoseaua Giurgiului, București, România"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",-12.75,0,0,0,0,0,0,0,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0MTYzODE1ODAtMzEyOTcxMzY2NQ,in_app,client_cancelled,,,1.818,,,,,,,,,09-03-26,18:55:30,09-03-26,18:55:40,,,,,,,,,"Calea Floreasca 246B, Bucureşti 014476","Laguna Residence, Intrarea Chefalului 11-13, Sectorul 2, Bucureşti",09-03-26,19:00:58,,,"[{""lat"": 44.478514, ""lng"": 26.104404, ""address"": ""Calea Floreasca 246B, Bucureşti 014476"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.47479, ""lng"": 26.112889, ""address"": ""Laguna Residence, Intrarea Chefalului 11-13, Sectorul 2, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MDgxOTc3NDUtMzI4MDczODk2Mw,cash,client_cancelled,,,0.65,,,,,,,,,15-05-26,20:07:43,,,,,,,,,,,"Strada Amurgului 56A, Popești-Leordeni","Șoseaua Olteniței 52, Popesti-Leordeni, Romania",15-05-26,20:07:50,,,"[{""lat"": 44.369562, ""lng"": 26.147689, ""address"": ""Strada Amurgului 56A, Popești-Leordeni"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.379762, ""lng"": 26.16657, ""address"": ""Șoseaua Olteniței 52, Popesti-Leordeni, Romania"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MjUwNzg4NDMtMzMxMjE1NDc3NA,in_app,client_cancelled,,,3.932,,,,,,,,,27-05-26,1:45:48,,,,,,,,,,,"Calea Victoriei 166-168, Bucureşti","Bulevardul Constantin Brâncoveanu 114, Bucureşti 041454",27-05-26,1:45:55,,,"[{""lat"": 44.445233, ""lng"": 26.09117, ""address"": ""Calea Victoriei 166-168, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.38666, ""lng"": 26.109829, ""address"": ""Bulevardul Constantin Brâncoveanu 114, Bucureşti 041454"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0NzIyODIwOTQtMzIxOTA4NDg0OA,cash,client_cancelled,,,5.093,,,,,,,,,20-04-26,0:01:25,,,,,,,,,,,"Bucharest, Romania","Strada Doamna Ghica 1, Tei, Bucureşti",20-04-26,0:01:30,,,"[{""lat"": 44.472664, ""lng"": 26.087591, ""address"": ""Bucharest, Romania"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.464664, ""lng"": 26.129196, ""address"": ""Strada Doamna Ghica 1, Tei, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MjA2MTA4OTgtMzMwMzIzNjE4NQ,in_app,client_cancelled,,,1.7,,,,,,,,,23-05-26,23:03:36,23-05-26,23:03:44,,,,,,,,,"Strada Vântului 4-6, Bucureşti 031866","AveForchetta, Strada Matei Millo 5, Sector 1, Bucureşti",23-05-26,23:04:04,,,"[{""lat"": 44.412162, ""lng"": 26.130263, ""address"": ""Strada Vântului 4-6, Bucureşti 031866"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.436023, ""lng"": 26.096315, ""address"": ""AveForchetta, Strada Matei Millo 5, Sector 1, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0MDg4NTQzNDgtMzExNzc5OTczMg,in_app,client_cancelled,,,3.333,,,,,,,,,04-03-26,11:44:38,04-03-26,11:44:52,,,,,,,,,"Oncological Institute Entrance, Fundeni Clinical Institute","Intrarea Monolitului 4, Vitan, Bucureşti",04-03-26,11:44:58,,,"[{""lat"": 44.46329, ""lng"": 26.156315, ""address"": ""Oncological Institute Entrance, Fundeni Clinical Institute"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.413403, ""lng"": 26.125621, ""address"": ""Intrarea Monolitului 4, Vitan, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0ODMxMzA0MDMtMzIzNzE3MTA2Nw,cash,client_cancelled,,,0.69,,,,,,,,,27-04-26,22:01:51,27-04-26,22:02:01,,,,,,,,,"Intrare Galaxy, Afi Palace Cotroceni",Drumul Valea Călmățuiului 7-21,27-04-26,22:02:20,,,"[{""lat"": 44.431716, ""lng"": 26.05424, ""address"": ""Intrare Galaxy, Afi Palace Cotroceni"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.420914, ""lng"": 25.982892, ""address"": ""Drumul Valea Călmățuiului 7-21"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
