ora_zi,numar_total_curse,medie_lei_per_minut,medie_lei_per_km,castiguri_totale_lei
0,64,1.6,3.7,1449.7
1,23,1.4,3.1,579.7
2,20,1.7,3.8,432.2
3,8,2.3,3.7,300.5
4,3,1.5,3,67.4
5,1,1,3.2,12.8
6,4,1,2.8,67
7,4,1.3,5.3,74.5
8,7,1,4.8,147.8
9,15,1,3.3,330.5
10,20,0.9,2.5,501.9
11,21,0.8,2.8,393.2
12,34,1,3.4,736.1
13,35,1.1,4,731.9
14,43,0.9,3.3,862.6
15,35,1.1,3.9,901.3
16,36,1.2,4,1019.2
17,50,1.2,4.3,1132.9
18,113,1.4,4.3,2820.9
19,155,1.2,3.4,3236.8
20,147,1.3,3.4,3141.7
21,189,1.3,3.3,3780.2
22,161,1.4,3.3,3700.2
23,118,1.5,3.4,2943.9
