ora_zi,numar_total_curse,medie_km_preluare_gol,medie_km_cursa_platit,procent_km_morti,medie_lei_per_km,medie_lei_per_minut
5,1,1.8,2.2,44.5,3.2,1.0
7,4,1.2,2.5,29.6,5.3,1.3
2,20,1.5,4.4,26.8,3.8,1.7
6,4,1.3,4.9,23.4,2.8,1.0
0,64,1.5,5.4,22.0,3.7,1.6
23,118,1.6,6.5,20.9,3.4,1.5
4,3,1.3,6.7,20.6,3.0,1.5
8,7,0.8,4.2,19.7,4.8,1.0
1,23,1.6,7.5,19.3,3.1,1.4
22,161,1.3,6.4,18.5,3.3,1.4
21,189,1.0,5.9,17.6,3.3,1.3
14,43,1.0,5.7,17.3,3.3,0.9
9,15,1.1,6.0,17.2,3.3,1.0
17,50,0.9,5.1,17.1,4.3,1.2
13,35,0.9,5.2,17.1,4.0,1.1
18,113,0.9,5.7,17.0,4.3,1.4
19,155,0.9,5.9,16.9,3.4,1.2
20,147,1.0,6.1,16.8,3.4,1.3
15,35,0.9,6.7,16.8,3.9,1.1
16,36,1.0,6.9,16.8,4.0,1.2
10,20,1.2,9.6,14.2,2.5,0.9
12,34,0.8,6.1,13.7,3.4,1.0
3,8,1.2,9.6,13.4,3.7,2.3
11,21,0.9,6.3,12.0,2.8,0.8
