data_zi,total_suma_incasata_lei,castig_net_ora_lei,numar_curse_finalizate,timp_online_total,timp_cursa_activa,procent_utilizare
2026-06-06,156.9,73.3,7,2h 8min,1h 26min,67.6
2026-06-05,323.3,71.1,15,4h 33min,4h 2min,88.9
2026-06-04,275.6,66.1,13,4h 10min,3h 51min,92.7
2026-06-03,296.1,66.9,13,4h 25min,3h 55min,88.6
2026-06-02,151.1,62.2,6,2h 25min,2h 12min,91.1
2026-06-01,428.4,79.3,17,5h 24min,4h 49min,89.2
2026-05-31,317.2,68.6,14,4h 37min,3h 42min,80.1
2026-05-30,408.0,93.1,12,4h 22min,3h 30min,80.0
2026-05-29,478.4,92.6,17,5h 10min,4h 54min,95.1
2026-05-28,356.9,59.5,15,5h 59min,5h 8min,85.7
2026-05-27,370.1,73.4,14,5h 2min,4h 23min,87.0
2026-05-26,94.0,86.4,3,1h 5min,0h 54min,83.3
2026-05-25,397.7,81.6,11,4h 52min,4h 25min,90.8
2026-05-24,358.4,87.9,13,4h 4min,3h 32min,86.7
2026-05-23,431.6,86.8,14,4h 58min,4h 29min,90.5
2026-05-22,270.3,71.1,12,3h 48min,3h 24min,89.7
2026-05-21,329.7,71.6,18,4h 36min,4h 23min,95.6
2026-05-20,316.7,57.4,15,5h 30min,4h 48min,87.2
2026-05-19,342.3,57.3,18,5h 58min,4h 55min,82.5
2026-05-18,337.7,62.9,16,5h 22min,4h 38min,86.5
2026-05-17,294.2,91.7,10,3h 12min,2h 55min,91.0
2026-05-16,401.1,74.2,18,5h 24min,5h 2min,93.3
2026-05-15,339.7,70.8,13,4h 47min,4h 15min,88.7
2026-05-14,293.3,61.4,17,4h 46min,4h 19min,90.6
2026-05-13,399.5,67.5,17,5h 54min,5h 8min,86.9
2026-05-12,435.6,74.2,22,5h 52min,5h 13min,88.9
2026-05-11,254.2,48.2,12,5h 16min,3h 59min,75.8
2026-05-10,334.3,65.9,16,5h 4min,4h 25min,87.1
2026-05-09,505.0,51.9,28,9h 43min,7h 44min,79.5
2026-05-08,387.4,60.8,18,6h 22min,6h 2min,94.9
2026-05-07,169.9,49.4,8,3h 26min,2h 40min,77.5
2026-05-06,239.2,46.9,12,5h 5min,4h 25min,86.7
2026-05-04,263.9,52.9,16,4h 59min,4h 18min,86.2
2026-04-30,299.2,57.8,15,5h 10min,5h 2min,97.3
2026-04-29,261.9,49.8,12,5h 15min,4h 19min,82.1
2026-04-28,297.3,58.1,13,5h 6min,4h 6min,80.5
2026-04-27,223.0,58.2,13,3h 49min,3h 16min,85.5
2026-04-26,513.4,88.5,16,5h 48min,4h 45min,81.9
2026-04-25,229.1,58.0,10,3h 57min,3h 9min,79.9
2026-04-24,396.4,57.9,19,6h 50min,5h 36min,82.1
2026-04-23,303.0,64.0,14,4h 44min,4h 14min,89.8
2026-04-22,305.7,59.3,13,5h 9min,4h 31min,87.8
2026-04-21,270.8,49.6,11,5h 27min,4h 17min,78.5
2026-04-20,373.5,64.7,16,5h 46min,4h 47min,82.9
2026-04-19,467.3,75.4,19,6h 12min,5h 12min,84.1
2026-04-18,341.1,65.6,16,5h 12min,4h 33min,87.5
