inceput_saptamana,eticheta_saptamana,incasari_totale_lei,ore_online_totale_saptamana,medie_lei_per_ora,medie_procent_utilizare
2026-02-23,Sapt. 23-Feb,1440.8,30.4,47.4,84.1
2026-03-02,Sapt. 02-Mar,2286.9,48.0,47.6,83.2
2026-03-09,Sapt. 09-Mar,2278.4,43.3,52.6,82.9
2026-03-16,Sapt. 16-Mar,2055.7,39.4,52.2,80.2
2026-03-23,Sapt. 23-Mar,2061.6,41.1,50.2,77.8
2026-03-30,Sapt. 30-Mar,1942.8,33.9,57.2,81.4
2026-04-06,Sapt. 06-Apr,1087.0,16.8,64.7,84.5
2026-04-13,Sapt. 13-Apr,1993.6,30.5,65.3,81.4
2026-04-20,Sapt. 20-Apr,2404.6,37.6,64.0,80.4
2026-04-27,Sapt. 27-Apr,1081.4,19.7,55.0,83.1
2026-05-04,Sapt. 04-May,1925.2,35.3,54.6,81.1
2026-05-11,Sapt. 11-May,2443.0,34.3,71.3,87.0
2026-05-18,Sapt. 18-May,2412.2,34.5,69.9,84.0
2026-05-25,Sapt. 25-May,2460.6,30.7,80.2,84.6
2026-06-01,Sapt. 01-Jun,1682.4,23.7,71.1,80.4
