order_reference,order_status,payment_method,castig_net_lei,ride_distance_km,ride_duration_min,viteza_medie_kmh,to_client_dist_km,to_client_dur_min,order_created_date,order_created_time,pickup_address,destination_address
MzI1LTI1NDAwNzc5MzctMzM0MDMwNjI2OA,finished,in_app,42.0,13.1,22.6,34.7,1.1,1.4,2026-06-06,01:50:34,"Strada Lotrioara 3, Bucureşti 032162","Strada Valea Ialomiței 4, Drumul Taberei, Bucureşti"
MzI1LTI1NDAwNTg0MTItMzM0MDI2Nzk4MA,finished,business,16.5,5.2,6.7,46.1,0.6,1.1,2026-06-06,01:34:59,"Aleea Suraia 4, Bucureşti","Hils Pallady, Bulevardul Theodor Pallady 66A, Titanul Nou"
MzI1LTI1NDAwMzEzOTctMzM0MDIxNjMxMg,finished,in_app,26.1,7.3,14.6,30.0,0.9,2.4,2026-06-06,01:15:29,"Strada Cornelia 26, Bucureşti 040181","Bulevardul Theodor Pallady 5, Bucureşti"
MzI1LTI1Mzk5OTAzOTctMzM0MDEzNTE1MQ,finished,in_app,13.7,3.8,7.6,29.9,1.1,2.5,2026-06-06,00:47:40,"Strada Doctor Mihai Ciucă 10, Bucharest","Club Expirat, Strada Doctor Constantin Istrati 1"
MzI1LTI1Mzk5NzQ2NzgtMzM0MDEwMzEwOQ,finished,cash,22.4,2.3,5.6,24.2,0.5,0.3,2026-06-06,00:36:24,"Splaiul Independenței 179, București 010271","Strada Progresului 29, București"
MzI1LTI1Mzk5NTIyMDMtMzM0MDA1ODY5NQ,finished,business,14.1,1.1,5.3,12.3,0.2,0.8,2026-06-06,00:21:14,Drumul Taberei 89B,"Strada Delinești 6, Drumul Taberei, Bucureşti"
MzI1LTI1Mzk5MzA2MDAtMzM0MDAyMjk5MA,finished,cash,22.1,6.2,9.9,37.5,1.7,2.6,2026-06-06,00:08:48,"Strada Zinca Golescu 28, Bucureşti 060241","Strada Segarcea 1, Bucharest"
MzI1LTI1Mzk5MDQ1NDEtMzMzOTk2ODE2MA,finished,in_app,16.6,5.8,10.5,33.3,0.4,2.0,2026-06-05,23:49:52,"Strada Sibiu 7, București 061344","Str. Nicolae Oncescu 6, Bucharest 060465"
MzI1LTI1Mzk4OTQ1NzQtMzMzOTk0OTU1Mw,finished,in_app,14.9,2.8,6.5,26.3,1.0,2.0,2026-06-05,23:42:54,"Strada Doctor Carol Davila 57, Bucureşti","Strada Sibiu 10, Drumul Taberei, Bucureşti"
MzI1LTI1Mzk4NjkwMDctMzMzOTkwMzQ3NQ,finished,in_app,22.1,5.2,12.7,24.8,1.3,3.4,2026-06-05,23:25:23,"Arcul de Triumf, Sectorul 1, București","Strada Doctor Petre Herescu 16, Cotroceni, Bucureşti"
MzI1LTI1Mzk4NDgzMDUtMzMzOTg2NTc1NA,finished,in_app,23.6,4.7,12.3,22.8,0.9,2.4,2026-06-05,23:10:32,"Strada C. A. Rosetti 34, Bucureşti","Bulevardul Ion Mihalache 123, Bucureşti"
MzI1LTI1Mzk4MjE3OTYtMzMzOTgyMTEzNg,finished,in_app,26.2,8.5,16.5,30.9,2.7,4.5,2026-06-05,22:52:43,"Strada Emil Racoviță 39, Voluntari 077190","Bucharest National Theatre TNB, Universitatii Square"
MzI1LTI1Mzk3OTcwODUtMzMzOTc3NTkwOQ,finished,in_app,33.1,6.2,10.9,34.1,0.2,0.9,2026-06-05,22:31:56,"Strada Șerban Cantacuzino 186, Voluntari 077190","Strada Constelației 42G, 077191"
MzI1LTI1Mzk3Njg5MzUtMzMzOTczMDQ5OA,finished,in_app,29.9,12.7,22.1,34.4,1.7,2.4,2026-06-05,22:10:03,"Strada Grigore Cobălcescu 7, Bucureşti 010191","Strada Șerban Cantacuzino 59, Voluntari"
MzI1LTI1Mzk3NDIwMjItMzMzOTY4NDI2MA,finished,in_app,18.2,6.8,18.3,22.3,1.3,2.6,2026-06-05,21:49:17,"Strada Postăvarul 94, Bucureşti 032425","Manuc's Inn, Old Town"
MzI1LTI1Mzk3MDMyNDUtMzMzOTYyMDc0NQ,finished,cash,18.1,6.4,14.6,26.1,1.7,3.9,2026-06-05,21:19:10,"Bulevardul Alexandru Obregia 37, Bucureşti 041732","Strada Vlăhița 6, Titan - Balta Albă, Bucureşti"
