zi_saptamana,ora_zi,numar_total_curse,medie_lei_per_minut,medie_lei_per_km,castiguri_totale_lei
Luni,0,4,1.6,2.8,105.7
Luni,2,4,1.0,2.3,62.0
Luni,10,2,0.9,2.3,35.2
Luni,14,4,0.7,2.7,73.0
Luni,15,5,1.2,3.3,150.7
Luni,16,4,1.2,4.6,157.4
Luni,17,6,1.0,4.1,165.8
Luni,18,22,1.4,4.3,534.1
Luni,19,38,1.2,3.5,744.4
Luni,20,26,1.4,3.6,518.7
Luni,21,35,1.4,3.2,790.9
Luni,22,32,1.3,3.0,701.9
Luni,23,22,1.5,3.0,513.5
Marti,0,11,1.2,2.7,207.8
Marti,1,4,1.3,2.3,133.9
Marti,2,1,0.9,2.6,14.1
Marti,12,4,1.1,3.0,82.0
Marti,13,3,1.2,3.8,40.1
Marti,14,3,1.1,2.9,63.1
Marti,15,1,0.9,3.1,42.9
Marti,16,3,0.8,3.5,133.6
Marti,17,4,0.9,3.6,81.7
Marti,18,23,1.5,4.5,583.5
Marti,19,19,1.1,2.9,403.5
Marti,20,21,1.2,3.1,408.3
Marti,21,22,1.3,3.3,413.9
Marti,22,19,1.5,3.5,408.2
Marti,23,20,1.4,2.7,548.8
Miercuri,0,8,1.4,3.1,159.3
Miercuri,1,2,1.3,2.4,51.6
Miercuri,2,2,1.4,3.3,38.0
Miercuri,9,1,1.2,3.5,18.4
Miercuri,10,2,1.1,2.3,91.7
Miercuri,11,4,0.6,2.3,65.0
Miercuri,12,6,0.8,3.0,113.4
Miercuri,13,8,1.1,4.4,142.4
Miercuri,14,5,0.9,3.1,125.3
Miercuri,15,5,1.2,4.4,109.2
Miercuri,16,6,1.0,4.1,146.3
Miercuri,17,9,1.2,4.9,225.0
Miercuri,18,16,1.1,5.2,420.1
Miercuri,19,32,1.0,3.1,596.2
Miercuri,20,23,1.2,3.2,493.7
Miercuri,21,26,1.1,3.0,475.0
Miercuri,22,26,1.3,3.0,563.5
Miercuri,23,12,1.4,3.2,343.8
Joi,0,6,1.4,4.1,115.1
Joi,1,1,1.1,2.2,18.1
Joi,5,1,1.0,3.2,12.8
Joi,6,4,1.0,2.8,67.0
Joi,7,4,1.3,5.3,74.5
Joi,8,5,1.1,5.3,109.6
Joi,9,6,1.0,3.5,143.9
Joi,10,7,0.8,2.6,135.0
Joi,11,7,0.9,2.9,128.9
Joi,12,7,0.8,2.9,117.5
Joi,13,8,0.9,3.0,177.1
Joi,14,12,0.8,2.9,240.3
Joi,15,11,1.1,4.4,208.8
Joi,16,10,1.3,4.5,276.8
Joi,17,11,1.1,4.4,248.5
Joi,18,15,1.4,4.2,333.0
Joi,19,22,1.2,3.5,419.5
Joi,20,24,1.2,3.5,424.6
Joi,21,35,1.3,3.6,647.6
Joi,22,16,1.3,3.4,313.8
Joi,23,5,1.9,4.3,113.7
Vineri,0,6,1.7,3.9,124.9
Vineri,1,3,1.1,2.4,63.2
Vineri,2,4,1.4,3.3,88.7
Vineri,8,2,0.7,3.7,38.2
Vineri,9,7,1.0,3.1,146.7
Vineri,10,7,0.9,2.4,183.2
Vineri,11,7,0.8,2.6,150.4
Vineri,12,11,1.1,4.1,331.0
Vineri,13,10,1.1,4.5,285.4
Vineri,14,14,1.0,3.9,282.7
Vineri,15,8,0.9,3.4,260.3
Vineri,16,5,1.1,4.1,153.2
Vineri,17,9,1.2,4.1,204.5
Vineri,18,15,1.6,4.6,397.5
Vineri,19,13,1.4,3.7,348.5
Vineri,20,15,1.5,4.1,376.4
Vineri,21,19,1.2,3.3,382.7
Vineri,22,19,1.4,3.4,394.5
Vineri,23,20,1.5,3.7,429.8
Sambata,0,11,2.1,5.0,310.5
Sambata,1,5,1.6,2.9,144.9
Sambata,2,2,2.8,5.3,60.8
Sambata,9,1,0.8,3.0,21.4
Sambata,10,2,1.0,2.9,56.9
Sambata,11,3,0.9,3.7,48.9
Sambata,12,3,1.4,4.0,47.2
Sambata,13,4,1.2,4.7,51.0
Sambata,14,2,1.0,3.6,38.8
Sambata,15,2,0.8,3.1,34.2
Sambata,16,4,1.1,3.0,92.4
Sambata,17,7,1.5,4.5,131.8
Sambata,18,15,1.2,3.3,377.4
Sambata,19,22,1.5,4.3,484.8
Sambata,20,20,1.2,3.1,509.8
Sambata,21,28,1.5,3.4,601.4
Sambata,22,25,1.5,3.3,653.0
Sambata,23,24,1.6,3.7,654.8
Duminica,0,18,1.6,3.9,426.4
Duminica,1,8,1.6,4.1,168.0
Duminica,2,7,2.1,5.0,168.7
Duminica,3,8,2.3,3.7,300.5
Duminica,4,3,1.5,3.0,67.4
Duminica,12,3,0.8,2.7,45.1
Duminica,13,2,0.8,2.7,35.9
Duminica,14,3,0.9,2.8,39.5
Duminica,15,3,1.8,4.3,95.2
Duminica,16,4,1.6,3.4,59.4
Duminica,17,4,1.1,3.2,75.6
Duminica,18,7,1.3,3.3,175.3
Duminica,19,9,1.1,2.8,239.9
Duminica,20,18,1.4,3.3,410.2
Duminica,21,24,1.4,3.6,468.7
Duminica,22,24,1.6,3.7,665.1
Duminica,23,15,1.7,3.8,339.6
