zi,interval_ora,total_curse_istoric,incasari_totale_lei,castig_net_ora_lei
Duminica,2,7,168.7,112.6
Duminica,3,8,300.5,100.4
Sambata,0,11,310.5,87.9
Duminica,0,18,426.4,79.6
Duminica,22,24,665.1,79.2
Sambata,23,24,654.8,75.7
Sambata,22,25,653.0,75.6
Vineri,20,15,376.4,74.8
Marti,23,20,548.8,73.4
Vineri,18,15,397.5,71.9
Marti,18,23,583.5,71.1
Duminica,23,15,339.6,69.6
Vineri,23,20,429.8,69.3
Vineri,0,6,124.9,69.2
Vineri,22,19,394.5,67.9
Luni,21,35,790.9,67.9
Joi,18,15,333.0,67.8
Luni,22,32,701.9,66.7
Sambata,19,22,484.8,66.2
Luni,18,22,534.1,65.5
